new_la_code,time_period,version,gender,breakdown,ethnicity_major,free_school_meals,sen_status,sen_description,disadvantage,first_language,variable,value
E06000001,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,46.8
E06000002,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,47.2
E06000003,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,49.6
E06000004,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,51.0
E06000005,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,51.2
E06000006,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,48.2
E06000007,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,51.0
E06000008,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,49.3
E06000009,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,42.6
E06000010,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,47.5
E06000011,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,48.9
E06000012,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,42.9
E06000013,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,47.2
E06000014,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,51.9
E06000015,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,47.7
E06000016,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,48.5
E06000017,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,52.6
E06000018,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,48.3
E06000019,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,47.9
E06000020,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,50.0
E06000021,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,45.5
E06000022,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,52.9
E06000023,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,50.9
E06000024,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,49.6
E06000025,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,48.3
E06000026,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,49.3
E06000027,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,51.7
E06000030,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,47.4
E06000031,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,46.1
E06000032,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,47.8
E06000033,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,58.8
E06000034,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,46.9
E06000035,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,49.2
E06000036,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,49.1
E06000037,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,51.7
E06000038,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,55.5
E06000039,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,56.2
E06000040,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,51.6
E06000041,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,55.1
E06000042,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,47.7
E06000043,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,52.3
E06000044,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,43.5
E06000045,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,48.6
E06000046,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,44.9
E06000047,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,49.6
E06000049,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,50.3
E06000050,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,49.9
E06000051,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,46.6
E06000052,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,47.5
E06000053,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,54.4
E06000054,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,49.8
E06000055,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,46.8
E06000056,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,47.1
E06000057,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,48.7
E06000058,202223,Revised,Total,Disadvantage,Total,Total,Total,Total,Disadvantaged all other,Total,avg_att8,53.5
