Sector,Bangladeshi,Bangladeshi,Bangladeshi,Black/African/Caribbean/Black British,Black/African/Caribbean/Black British,Black/African/Caribbean/Black British,Chinese,Chinese,Chinese,Indian,Indian,Indian,Mixed/Multiple,Mixed/Multiple,Mixed/Multiple,Other,Other,Other,Pakistani,Pakistani,Pakistani,Other Asian,Other Asian,Other Asian,White,White,White
,Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%)
---,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, forestry and fishing",,,,0.1,0,0.3,,,,0.1,0.1,0.6,0.5,0.3,0.5,0.3,0.2,0.7,0.3,0.2,0.7,,,,1.5,0.1,0.1
Energy and water,1.1,0.6,1.3,0.6,0.4,0.8,0.7,0.6,3.9,1.4,0.6,1,0.4,0.2,0.6,0.6,0.4,1,0.2,0.1,0.4,0.2,0.2,1.4,0.9,0.1,0.1
Manufacturing,3.1,1.2,2,3.7,0.9,1.2,2.9,1.4,2.8,6.5,1.5,1.8,4.3,1,1.2,7.9,1.9,2.5,3.6,1.1,1.5,5,1.7,2.6,7.5,0.2,0.2
Construction,2.3,1,1.7,2.3,0.7,0.9,2.2,1.3,3,1.8,0.7,1.1,5.6,1.2,1.5,1.9,0.7,1.2,1.6,0.7,1.1,1.4,0.7,1.4,6.7,0.2,0.2
"Distribution, hotels and restaurants",42.7,4.7,4.8,38.7,2.6,2.7,28.8,5.9,6.7,35.1,2.9,3,42.7,2.6,2.7,46.1,4.1,4.1,44.8,3.2,3.2,45.8,4.2,4.2,37.8,0.4,0.4
Transport and communication,4.2,1.5,2.3,3.9,0.9,1.2,1.5,1.1,4.6,4.7,1.2,1.6,2.6,0.8,1.1,3,1.3,2.2,5.2,1.2,1.5,4.4,1.5,2.1,3.6,0.1,0.2
Banking and finance,16.9,3.3,3.8,15.4,1.9,2.1,30,6.3,7.2,25,2.7,3,15.1,1.9,2.1,14.4,2.6,3.1,14.5,2.1,2.4,18.2,3.2,3.7,13.6,0.3,0.3
"Public admin, education and health",24.9,4,4.5,26,2.3,2.4,26.7,6.4,7.5,19.5,2.4,2.7,19.2,2.1,2.3,17.9,3,3.4,25.1,2.6,2.8,21.5,3.4,3.8,18.8,0.3,0.3
Other services,4.9,1.8,2.7,9.2,1.6,1.9,7.3,2.9,4.5,5.9,1.3,1.7,9.4,1.3,1.5,7.8,1.9,2.4,4.6,1.1,1.5,3.4,1.1,1.7,9.7,0.2,0.2
