Title,Value,Note,Units post
Sector not met,77,,%
Sector partially met,15.4,,%
Sector mostly met,7.7,,%
Sector fully met,3.8,,%
Occupation not met,80.8,,%
Occupation partially met,15.4,,%
Occupation mostly met,7.7,,%
Occupation fully met,0,,%
Contract Type not met,80.8,,%
Contract Type partially met,15.4,,%
Contract Type mostly met,3.8,,%
Contract Type fully met,3.8,,%
Apprenticeships not met,80.8,,%
Apprenticeships partially met,7.7,,%
Apprenticeships mostly met,7.7,,%
Apprenticeships fully met,7.7,,%
Pay not met,65.4,,%
Pay partially met,11.5,,%
Pay mostly met,0,,%
Pay fully met,26.9,,%
Progression not met,77,,%
Progression partially met,3.8,,%
Progression mostly met,11.54,,%
Progression fully met,11.54,,%
Discrimination not met,100,,%
Discrimination partially met,3.8,,%
Discrimination mostly met,0,,%
Discrimination fully met,0,,%
