quarter_start,age_16_to_24_neet_total_sa,age_16_to_24_neet_unemployed_sa,age_16_to_24_neet_economically_inactive_sa,age_16_to_24_popupation,age_16_to_24_neet_total_rate_sa
2020-01-01,773870.5122285518,319511.3139698459,454359.1982587059,6873352.0,11.258997243681856
2020-04-01,790989.796593196,304136.03715969005,486853.759433506,6852443.0,11.543179514126509
2020-07-01,772881.6677056467,348316.3402364934,424565.3274691534,6849739.0,11.28337397535361
2020-10-01,797760.9292384482,354087.9448012371,443672.9844372111,6832734.0,11.675574217267174
2021-01-01,723528.8042030449,317945.6699641783,405583.1342388665,6816163.0,10.61489879574542
2021-04-01,644356.8433293989,279471.9522966931,364884.89103270584,6805141.0,9.468677332760613
2021-07-01,708463.1804992002,270262.49926281045,438200.6812363898,6815111.0,10.395475297455906
2021-10-01,693649.3928072673,256495.57510895148,437153.8176983158,6813325.0,10.180776534324536
2022-01-01,707249.3289750393,246973.92854353026,460275.4004315091,6816697.0,10.375249610992528
2022-04-01,711429.2176361557,238658.23334559973,472770.98429055593,6823520.0,10.426132225539833
2022-07-01,723689.0739914065,233616.98157853383,490072.0924128727,6840016.0,10.58022487069338
2022-10-01,788083.054131716,298622.9420771216,489460.11205459444,6837737.0,11.525495264467118
