Country,country_code,sex,age,series,frequency,time,powercode,Number of people (thousands)
United States,USA,Women,15 to 24,Employment,Annual,2022,Thousands,9552.0
Mexico,MEX,Women,15 to 24,Employment,Annual,2022,Thousands,3317.11
Japan,JPN,Women,15 to 24,Employment,Annual,2022,Thousands,2740.0
Germany,DEU,Women,15 to 24,Employment,Annual,2022,Thousands,1935.87793
United Kingdom,GBR,Women,15 to 24,Employment,Annual,2022,Thousands,1837.74
Türkiye,TUR,Women,15 to 24,Employment,Annual,2022,Thousands,1359.0
Canada,CAN,Women,15 to 24,Employment,Annual,2022,Thousands,1307.4
France,FRA,Women,15 to 24,Employment,Annual,2022,Thousands,1294.536301
Colombia,COL,Women,15 to 24,Employment,Annual,2022,Thousands,1099.01
Australia,AUS,Women,15 to 24,Employment,Annual,2022,Thousands,1034.7
Korea,KOR,Women,15 to 24,Employment,Annual,2022,Thousands,850.7
Netherlands,NLD,Women,15 to 24,Employment,Annual,2022,Thousands,795.54
Spain,ESP,Women,15 to 24,Employment,Annual,2022,Thousands,513.45
Italy,ITA,Women,15 to 24,Employment,Annual,2022,Thousands,445.7057495
Poland,POL,Women,15 to 24,Employment,Annual,2022,Thousands,383.5475063
Israel,ISR,Women,15 to 24,Employment,Annual,2022,Thousands,303.16
Chile,CHL,Women,15 to 24,Employment,Annual,2022,Thousands,265.62
Switzerland,CHE,Women,15 to 24,Employment,Annual,2022,Thousands,251.398
Sweden,SWE,Women,15 to 24,Employment,Annual,2022,Thousands,242.3
