Category,Response,Total,White,Asian/Asian British,Black/African/Caribbean/Black British,Middle Eastern,Mixed/Multiple,Other
---,---,---,---,---,---,---,---,
Mental health,My mental health has suffered,45,32,50,43,37,54,67
Education has suffered,My education/grades have suffered,28,20,33,22,26,30,24
Friendships suffered,My relationships with friends have suffered,25,19,25,26,25,21,41
Physical health issues,My physical health has suffered,24,15,27,27,26,20,53
Unable to afford essentials,"I have struggled to pay for essential goods and services (e.g. eating, heating)",23,17,23,31,27,28,25
Lack of opportunities due to closure,I have been unable to get relevant work experience due to businesses/ organisations being closed,20,18,23,18,14,26,45
Future plans delayed,"My future plans have been delayed e.g. starting education, apprenticeships, starting my own business",19,13,19,24,16,15,45
Family relationships suffered,My relationships with family have suffered,16,11,17,17,7,19,31
Struggled to get and keep a job,I have struggled to get and keep a job,13,9,15,15,6,9,20
Moved back home,I have had to move back home to live with my family,12,11,11,16,11,11,14
Had to take out loans/credit,I have had to take out loans / credit,11,10,9,17,16,10,0
Caring for family members,I have to care for vulnerable family members,11,10,12,13,4,12,3
Struggled to stay in education,I have struggled to say in education,9,9,9,11,11,7,6
Lost a job,I have lost a job,9,12,7,10,8,8,0
Struggled to start a business,I have struggled to start or maintain my business/self-employment,8,9,6,11,6,9,7
Delayed starting a family due to cost,I have to delay starting a family due to costs associated with it (e.g. childcare),7,7,6,11,10,4,7
Lack of funding to start a business,I have been unable to get the funding I need to start my own business,6,7,4,10,7,5,10
Had to pay for additional childcare,I have had to pay for additional childcare,6,6,5,9,7,3,0
Quit a job due to childcare,I have had a quit a job for childcare reasons,3,5,3,5,3,3,3
Other,Other,0,1,0,1,1,0,4
None of these,None of these,11,6,13,10,9,13,9
