quarter_index,quarter_start,age_16_to_24_unemployed_sa,age_16_to_24_unemployed_over_12_months_sa,age_16_to_24_unemployed_over_6_months_sa,age_16_to_24_unemployed_over_12_months_rate_sa,age_16_to_24_unemployed_over_6_months_rate_sa,quarter_label
1,2020-04-01,550253.0,62345.0,69217.0,11.3,12.6,Apr-Jun 2020
2,2020-07-01,608836.0,103793.0,84587.0,17.0,13.9,Jul-Sep 2020
3,2020-10-01,598065.0,90456.0,111513.0,15.1,18.6,Oct-Dec 2020
4,2021-01-01,544609.0,109970.0,103365.0,20.2,19.0,Jan-Mar 2021
5,2021-04-01,526053.0,98648.0,102188.0,18.8,19.4,Apr-Jun 2021
6,2021-07-01,476778.0,84601.0,76573.0,17.7,16.1,Jul-Sep 2021
7,2021-10-01,460784.0,93872.0,52559.0,20.4,11.4,Oct-Dec 2021
8,2022-01-01,437683.0,77520.0,38161.0,17.7,8.7,Jan-Mar 2022
9,2022-04-01,428959.0,61056.0,39020.0,14.2,9.1,Apr-Jun 2022
10,2022-07-01,399497.0,61175.0,49646.0,15.3,12.4,Jul-Sep 2022
11,2022-10-01,471011.0,58830.0,52396.0,12.5,11.1,Oct-Dec 2022
12,2023-01-01,482298.0,,65971.0,,13.7,Jan-Mar 2023
