Source,Source,Source,Source,Source,Ethnic groups availability,Ethnic groups availability,Ethnic groups availability,Ethnic groups availability,Ethnic groups availability,Ethnic groups availability,Ethnic groups availability,Ethnic groups availability,Demographic characteristics availability,Demographic characteristics availability,Demographic characteristics availability,Demographic characteristics availability,Demographic characteristics availability,Demographic characteristics availability,Demographic characteristics availability,Demographic characteristics availability,Demographic characteristics availability,Demographic characteristics availability,Demographic characteristics availability,Demographic characteristics availability,Demographic characteristics availability,Demographic characteristics availability,Intersectional analysis,Intersectional analysis,Intersectional analysis,Intersectional analysis,Employment data,Employment data,Employment data,Employment data,Employment data,Employment data,Employment data,Employment data,Employment data,Employment data,Employment data,Employment data,Employment data,Employment data,Employment data,Employment data,Relevance of data,Relevance of data,Relevance of data,Relevance of data
Name,Author,Link,Geography,Notes,"Broad groupings (e.g. White, Black, Asian, mixed, other)","Broad groupings (e.g. White, Black, Asian, mixed, other)","Ethnic groups (e.g. African, Carribean, other black background)","Ethnic groups (e.g. African, Carribean, other black background)",Ethnic subgroups (e.g. Somali),Ethnic subgroups (e.g. Somali),Other relevant subgroups (e.g. migration status),Other relevant subgroups (e.g. migration status),Gender,Gender,Socioeconomic status,Socioeconomic status,Disability,Disability,Religion,Religion,Region,Region,Subregion,Subregion,Age within young people,Age within young people,Two-way intersectional analysis (e.g. ethnic group by demographic characteristic),Two-way intersectional analysis (e.g. ethnic group by demographic characteristic),Three-way intersectional analysis possible (e.g. ethnic group by demographic characteristic by region),Three-way intersectional analysis possible (e.g. ethnic group by demographic characteristic by region),Employment status,Employment status,Sector,Sector,Occupation,Occupation,Contract type,Contract type,Apprenticeships,Apprenticeships,Pay,Pay,Progression,Progression,Discrimination in employment,Discrimination in employment,Culturally relevant data available,Culturally relevant data available,"Timeliness of data (e.g. covers a suitable time period, sufficiently up to date)","Timeliness of data (e.g. covers a suitable time period, sufficiently up to date)"
,,,,,Rating,Notes,Rating,Notes,Rating,Notes,Rating,Notes,Rating,Notes,Rating,Notes,Rating,Notes,Rating,Notes,Rating,Notes,Rating,Notes,Rating,Notes,Rating,Notes,Rating,Notes,Rating,Notes,Rating,Notes,Rating,Notes,Rating,Notes,Rating,Notes,Rating,Notes,Rating,Notes,Rating,Notes,Rating,Notes,Rating,Notes
---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Young people not in employment, education or training (NEET)",UK Government (Ethnicity facts and figures),"https://www.ethnicity-facts-figures.service.gov.uk/work-pay-and-benefits/unemployment-and-economic-inactivity/young-people-not-in-employment-education-or-training-neet/latest#:~:text=sex%27%20(CSV)-,Summary%20of%20Young%20people%20not%20in%20employment%2C%20education%20or%20training,be%20NEET%20than%20men%20(11.0",UK,"Part of the UK Government 'Ethnicity Facts and Figures' website. Provides charts and tables on levels of NEET and economic activity amongst young people from minority ethnic groups. Although it uses APS (similar to our analysis), it includes NEET figures which our analysis doesn't.",3,"Includes suitable broad groupings (white, black, mixed, other) with sufficient sample/detail. Does not include Asian, but this is covered by individual groups",1,"Contains suitable groups with sufficient sample/detail for Asian ethnic groups (Bangladeshi, Chinese, Indian, Pakistani, Asian other). However, not included for other broad groups",0,Not included,0,Not included,3,"Gender breakdown included for all ethnic groups (All, Bangaldeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, white, other)",0,Not included,0,Not included,0,Not included,0,Not included,0,Not included,0,Not included,3,"NEET and economic activity are broken down by ethnic group and sex (sex is the only available demographic variable). These breakdowns are available by all ethnic groups included on the page (All, Bangaldeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, white, other)",0,Not available,3,"Main focus is on NEET, and provides data on whether unemployed or inactive",0,Not included,0,Not included,0,Not included,0,Not included,0,Not included,0,Not included,0,Not included,0,Not included,2,"Latest available (correctly weighted) DfE data (2017-2019), but pre-covid. Covers multiple years"
Race inequality in the workforce,Operation Black Vote; Centre for Longitudinal Studies; CarnegieUK,https://cls.ucl.ac.uk/wp-content/uploads/2017/02/Race-Inequality-in-the-Workforce-Final.pdf,England,"Report presenting findings of Next Steps, a longitudinal study of the 'millenial generation' in England. Participants were born in 1989/90, and they have been followed across a number of years since 2004. This report presents findings from a 'sweep' when participants were aged 25. In total, 7,707 participants took part. The report focuses on the relationships between employment, gender, ethnicity and mental health at age 25. In relation to ethnicity, the report considers: the relationship between unemployment, precarious work and ethnicity; and the relationships between ethnicity, work and mental health.",2,"Includes suitable data about 3 broad groupings (white, mixed, other), with sufficient sample size for significance testing. Asian and Black groups are not included, and only partially covered by separate ethnic groups (Indian, Pakistani, Black Caribbean, Black African).",1,"Contains suitable groups with sufficient sample size for significance testing. However, only available for select Asian and black groups (Indian, Pakistani, Bangladeshi, Black Carribean, Black African).",0,Not included,0,Not included,1,"Not included in report, although controlled for in regression analyses (precarious work by ethnicity; predicting mental ill health by ethnicity)",1,"Not included in report, although controlled for in regression analyses (precarious work by ethnicity; predicting mental ill health by ethnicity)",1,"Disability as a whole is not included, but there is a focus on mental illhealth (specifically, predicting mental ill health by ethnicity with income at age 25 as a controlling factor in the regression analysis)",0,Not included,0,Not included,0,Not included,0,"Cross-sectional analysis of longitudinal study, so focused on young people of the same age (25)",1,"Not available. Although some demographic characteristics controlled for in regression analyses (gender, social class, housing tenure, household income during adolesence, GCSE attainment, mential ill health at a younger age, income at age 25).",1,"Not available. Although some demographic characteristics controlled for in regression analyses (gender, social class, housing tenure, household income during adolesence, GCSE attainment, mential ill health at a younger age, income at age 25).",3,"Detailed employment status provided with breakdowns for all available ethnic groups (white, mixed, Indian, Pakistani, Bangladeshi, black Carribean, black African, other)",0,Not available,0,Not available,2,"Detailed contract type breakdown included (focus on indicators of precarious work). However, scored 2 as only included for white/BAME rather than separate ethnic groups.",0,Not included,0,Not included,0,Not included,0,Not included,0,Not available,1,"Longitudinal dataset (Next Steps) with no new entries, so focussed only on a specific time period (age 25 in 2013)."
Facing the facts: ethnicity and disadvantage in Britain,Centre for Social Justice,https://www.centreforsocialjustice.org.uk/wp-content/uploads/2020/11/CSJJ8513-Ethnicity-Poverty-Report-FINAL.pdf,Great Britain,"Report with the aims of understanding how socioeconomic outcomes differ between ethnic groups in the UK. Analysis is based on several data sources including ONS Families and Households Survey, ONS Annual Population Survey, and DfE datasets. ",1,"Includes suitable data about the broad grouping for the white ethnic group. Some analysis includes broad groupings for black. Analysis that does not include black as a broad grouping is covered by individual groups (Black Carribean and Black African). Asian is not included and is only partially covered by individual groups (Indian, Pakistani, Bangladeshi). Mixed and other groups are not covered.",1,"Contains suitable groups with sufficient sample size for analysis. However, only available for select Asian and black groups (Indian, Pakistani, Bangladeshi, Black Caribbean, Black African).",0,Not included,0,Not included,1,Some discussion is made on the interaction between gender and ethnicity but this is limited.,0,Not included,0,Not included,0,Not included,0,Not included,0,Not included,0,Not included,0,Some two-way intersectional analysis of proportion of dependent children households decomposed by parental status. Analysis is not focussed on young people and employment outcomes,0,Not available,2,"Unemployment and employment breakdowns by ethnicity groups (White, Indian, Pakistani, Bangladeshi, Black Caribbean, Black African).",0,Not included,0,Not included,0,Not included,0,Not included,3,Breakdowns of post-graduation earnings by ethnicity are included in the report.,3,Analysis included on levels of pay 1 year after graduating compared to 10 years after graduation. Proxy for how pay has progressed over the 10 year period for different ethnic groups.,0,Not included,0,Not included,2,"Wide range of data used including ONS Families and Households Survey, ONS Annual Population Survey, and DfE datasets. Data ranges from 2007 up to 2019."
Apprenticeships and diversity in context in Greater Manchester,GMCA,Economic Development (greatermanchester-ca.gov.uk),Greater Manchester,A GMCA report looking into apprenticeship participation across different ethnicity groups in Greater Manchester. Uses Skills Funding Agency data from the year 2015/16,3,"Includes suitable data and sample size for all the broad census groupings of Asian, Black, Mixed, Other and White (no exclusions). Chinese is sometimes used as an additional group",1,"Contains suitable data for up to 18 ethnic groups however because sample sizes are insufficient analysis is only performed on broader groups  (Asian, Black, Mixed, Other Ethnic Group, White)",0,Not included,0,Not available,1,Some discussion of gender breakdown for BAME apprentices.,0,Not included,0,Not included,0,Not included,0,Analysis of Greater Manchester area only,2,Some analysis decomposed across Greater Manchester local authorities,2,Some analysis is decomposed by age band (under 18 and 19-24),0,Not available,0,Not available,3,"Data on employment rate, further education rate, and NEET rate of school leavers is included",2,Includes breakdowns on the subject area/sector that BAME apprentices study,0,Not available,0,Not included,3,Apprenticeships are the focal point of the analysis,0,Not included,0,Not included,0,Not included,0,Not available,1,Primary source is from the Skills Funding Agency and only includes analysis for one year (2015/16).
Employment and earning differences in the early career of ethnic minority British graduates,Wouter Zwysen & Simonetta Longhi,http://centaur.reading.ac.uk/67108/1/2017%20Employment%20and%20earning%20differences%20in%20the%20early%20career%20of%20ethnic%20minority%20British%20graduates%20JEMS.pdf,England,Academic paper analysing the employment outcomes in the early career of ethnic minority university graduates between the years 2004/05 and 2011/12. Uses the Destination of Leavers of Higher Education (DLHE) dataset which includes data on a students' background. ,1,"Includes suitable data about the broad grouping for Whites. Asian and Black groups are not included but are covered by individual groups (Bangladeshi, Indian, Pakistani, Chinese, Black African, Black Caribbean). Mixed and Other groups are not included",1,"Contains suitable groups with sufficient sample size for analysis. However, only available for select Asian and black groups (Chinese, Indian, Pakistani, Bangladeshi, Black Caribbean, Black African).",0,Not included,0,Not included,3,"Gender breakdown included for all minority ethnic groups included (White, Chinese, Bangladeshi, Indian, Pakistani, Black Caribbean, African)",1,All analysis includes proxies for socieconomic status as control variables (Parental social class and type of school attended),0,Not included,0,Not included,1,All analysis includes regional characteristics as a control variable,1,Local authority level included as a control variable in all of the analysis,0,"Model studies only graduates aged 21-24, age kept constant",3,"Economic outcomes are broken down by ethnic group and gender. Gender breakdowns are available for each ethnic group included in the study (White, Indian, Pakistani, Bangladeshi, Chinese, Black Carribean, Black African)",1,"Not available. Although some demographic characteristics controlled for in the regression models (university characteristics, local area, parental background and (for earnings) job characteristics six months and three and a half years after graduation)",3,Full breakdowns of employment likelihood relative to white majority (conceputalised as the employment penalty) used as dependent variable in regression analysis,0,Not available,0,Not available,0,Not included,0,Not included,3,"Breakdowns of earnings six months after graduation for all ethnic groups included in the study (White, Black Caribbean, Black African, Indian, Pakistani, Bangladeshi, Chinese)",2,"Labour market trajectories analysed by comparing earnings 6 months after employment to earnings three and a half years after graduation. Breakdowns for some broad groupings (Black African/Caribbean, Indian, Pakistani/Bangladeshi, Chinese)",0,Not included,1,Includes parent socioeconomic status/background and measurements of local area diversity as control variables,2,Labour market outcomes are from graduate cohorts between 2004/2005 and 2011/2012 (DLHE).
Labour market disadvantage of ethnic minority British graduates,Wouter Zwysen & Simonetta Longhi,2016-02.pdf (essex.ac.uk),England,Academic paper analysing the school-to-work transitions of ethnic minority university graduates between the years 2004/05 and 2011/12. Uses the Destination of Leavers of Higher Education (DLHE) dataset which includes data on a students' background. ,1,"Includes suitable data about the broad grouping for Whites. Asian and Black groups are not included but are covered by individual groups (Bangladeshi, Indian, Pakistani, Chinese, Black African, Black Caribbean). Mixed and Other groups are not included",1,"Contains suitable data and sample size for the major White, Black (Black African, Black Caribbean), and Asian (Bangladeshi, Indian, Pakistani, Chinese) ethnic groups, but excludes others",0,Not included,0,Not included,3,All analysis decomposed by gender,1,All analysis includes proxies for socieconomic status as control variables (Parental social class),1,All analysis includes disability status as a control variable (dummy variable),0,Not included,1,All analysis includes regional characteristics as a control variable,1,Local authority level included as a control variable in all of the analysis,0,"Model studies only graduates aged 21-24, age kept constant",3,"Economic outcomes are broken down by ethnic group and gender. Gender breakdowns are available for each ethnic group included in the study (White, Indian, Pakistani, Bangladeshi, Chinese, Black Carribean, Black African)",3,Breakdowns of employment and wage effects by ethnic group by gender by social background (whether disadvantaged or advantaged),3,Full breakdowns of employment likelihood relative to white majority (conceputalised as the employment penalty) used as dependent variable in regression analysis,0,Not available,1,Parent occupational class used as identifier of socioeconomic status. Included as a control variable in model 2 with some discussion included.,1,Employment and self-employment status is included in the regression model with breakdowns for men and women,0,Not included,3,"Breakdowns of earnings six months after graduation for all ethnic groups included in the study (White, Black Caribbean, Black African, Indian, Pakistani, Bangladeshi, Chinese)",2,"Labour market trajectories anlysed by comparing earnings 6 months after employment to earnings three and a half years after graduation. Breakdowns for some broad groupings (Black African/Caribbean, Indian, Pakistani/Bangladeshi, Chinese)",0,Not included,1,Includes parent socioeconomic status/background and measurements of local area diversity as control variables,2,Labour market outcomes are from graduate cohorts between 2004/2005 and 2011/2012. (DLHE) labour market trajectories use longitudinal data from cohorts between 2004/2005 and 2008/2010
Moving on Up: Improving employment opportunities for young black men,Trust for London,https://www.trustforlondon.org.uk/publications/moving-improving-employment-opportunities-young-black-men/,London area,"Evaluation of the Moving on Up initiative. Data collected from 683 individuals who were given employment support, of which 454 have response data. Further analysis performed on smaller subsets of around 454.",0,"Only includes data for individuals defined as young (16-24) black men, and sample size is limited",0,Data includes Black ethnic groups but there is no further decomposition into those groups,0,Not included,0,Not included,0,Analysis only focussed on men,0,Not included,0,Not included,0,Not included,0,Analysis of London area only,0,Not available,0,Not included,0,Not included,0,Not included,2,Job outcome data available for 66% of participants. ,1,Detailed sector breakdown but only available for 165 participants,0,Some discussion of occupations within sectors but too limited,1,Detailed contract type breakdown but only available for 56 participants,1,Apprenticeships Included in the contract type data,1,Breakdown of starting salaries but only available for 53 participants,0,Job progression is included in qualitative assessment only,1,Experience with/understanding of discrimination included in survey,2,Survey data assessed factors relating to social exclusion,1,Relatively recent data but limited by sample size and lack of control group
