Region,Bangladeshi,Bangladeshi,Bangladeshi,Black/African/Caribbean/Black British,Black/African/Caribbean/Black British,Black/African/Caribbean/Black British,Chinese,Chinese,Chinese,Indian,Indian,Indian,Mixed/Multiple,Mixed/Multiple,Mixed/Multiple,Other,Other,Other,Pakistani,Pakistani,Pakistani,Other Asian,Other Asian,Other Asian,White,White,White
,Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%),Value (%),- (%),+ (%)
---,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,51,25,25,32,15,15,20,5,8,18,10,10,35,10,10,21,10,10,80,40,15,26,10,10,45,0.5,0.5
Scotland,25,17,17,36,6,6,25,6,6,38,10,10,40,7,7,27,5,5,30,6,6,32,6,6,62,0.5,0.5
Wales,35,14,14,29,8,8,17,6,10,21,9,14,46,7,7,22,5,6,30,5,5,21.5,5,7,53,0.5,0.5
South West,,,,,,,,,,,,,,,,,,,,,,,,,,,
South East,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,,,,,,,,,,,,,,,,,,,,,,,,,,,
East of England,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yorkshire\nand Humber,,,,,,,,,,,,,,,,,,,,,,,,,,,
North West,,,,,,,,,,,,,,,,,,,,,,,,,,,
North East,,,,,,,,,,,,,,,,,,,,,,,,,,,
